Smiles,Standard Value
Brc1cc2n(C)c(O)c(c2cc1)-c1[nH]c2c(cccc2)c1N=O,0
Brc1cc\2c(NC(=O)/C/2=C/C(=O)c2ccc(F)cc2)cc1,0
Brc1cc\2c(NC(=O)/C/2=C/C(=O)c2ccc(cc2)C)cc1,0
Brc1cc\2c(NC(=O)/C/2=C\C(=O)c2ccccc2)cc1,0
Brc1cc\2c(NC(=O)/C/2=N\Nc2ccc(S(=O)(=O)N)cc2)cc1,1
Brc1cc\2c(cc1)C(=O)NC(=O)/C/2=C\NCc1cc(O)c(OCCC)cc1,0
Brc1ccc(Nc2nc(Nc3cc4nc[nH]c4cc3)c(cn2)C(F)(F)F)cc1,1
Brc1ccc(Nc2nc(nc3n(cnc23)C(C)C)N2CCCC2CO)cc1,1
Brc1ccc(Nc2nc(nc3n(cnc23)C(C)C)N[C@H](C(C)C)CO)cc1,0
Brc1ccc(Oc2nc(ncc2C(F)(F)F)Nc2cc3nc[nH]c3cc2)cc1,1
Brc1ccc(cc1)-c1[nH]nc(Nc2ccc(S(=O)(=O)N)cc2)c1,1
Brc1ccc(cc1)-c1nc(ncc1C#N)Nc1ccc(cc1)CCO,0
Brc1ccc(cc1)-c1nc-2ncc[nH]c-2c1,0
Brc1ccc(cc1)C(=O)\C=C/1\c2c(NC\1=O)cccc2,0
Brc1ccc(cc1)CC(=O)Nc1n[nH]c2c1cc(N1S(=O)(=O)CCC1)cc2,1
Brc1ccccc1C=1Oc2c(C(=O)C=1)c(O)cc(O)c2C=1CC[NH+](CC=1)C,1
Brc1ccccc1CNc1ncnc2c1[nH]nc2C(C)C,0
Brc1ccccc1CNc1ncnc2n(cnc12)C(C)C,0
Brc1ccccc1Nc1nc(ccn1)-c1c2cccnc2[nH]c1,1
Brc1cnc(nc1-c1c[nH]nc1C(C)C)NC1CC[NH+](CC1)C,0
Brc1cnc(nc1NC1CCCc2c1cccc2)Nc1cc2nc[nH]c2cc1,1
Brc1cnc(nc1NC1CCc2c1cccc2)Nc1cc2nc[nH]c2cc1,1
Brc1cnc(nc1NCC#C)Nc1ccccc1,1
Brc1cnc(nc1NCC#N)Nc1ccccc1,1
Brc1cnc(nc1NCc1cccc(Cl)c1Cl)Nc1cc2nc[nH]c2cc1,1
Brc1cnc(nc1N[C@@H](CO)C)Nc1ccc(S(=O)N)cc1,1
Brc1cnc(nc1N[C@@H]([C@H](O)C)C)Nc1ccc(S(=O)(=[NH])CC)cc1,1
Brc1cnc(nc1N[C@@H]([C@H](O)C)C)Nc1ccc(S(=O)N)cc1,1
Brc1cnc(nc1Nc1cc2OCOc2cc1)Nc1cc2nc[nH]c2cc1,1
Brc1cnc(nc1Nc1cc2nc[nH]c2cc1)Nc1cc(Cl)ccc1,1
Brc1cnc(nc1Nc1cc2nc[nH]c2cc1)Nc1cc2nc[nH]c2cc1,1
Brc1cnc(nc1Nc1cc2nc[nH]c2cc1)Nc1ccc(Oc2cccnc2)cc1,1
Brc1cnc(nc1Nc1ccc(F)cc1)Nc1cc2nc[nH]c2cc1,1
Brc1cnc(nc1Nc1ccc(Oc2cccnc2)cc1)Nc1cc2nc[nH]c2cc1,1
Brc1cnc(nc1O[C@@H]([C@H](O)C)C)Nc1ccc(S(=O)N)cc1,1
Brc1cnc2oc3c(c2c1-c1ccccc1)cc(O)cc3,0
Brc1n(O[C@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)c2ncncc2c1C(=O)N,0
Brc1n(c2ncnc(N)c2c1C(=O)N)[C@H]1O[C@@H](CO)[C@@H](O)[C@@H]1O,1
Brc1n(nc2c1CCN([C@H]1COc3c(N(C)C1=O)cccc3)C2=O)Cc1ccccc1,1
ClC(Cl)(Cl)c1nc(NC(C#C)(C)C)c2c(n1)cccc2,0
ClC(Cl)(Cl)c1nc(NC(C)(C)C)c2c(n1)cccc2,0
ClCC(=O)c1cc\2c(NC(=O)/C/2=C\c2[nH]c(nc2C)CC)cc1,0
ClCC(=O)c1cc\2c(NC(=O)/C/2=C\c2[nH]ccc2)cc1,1
ClCC1=Nc2n(nc(c2C(=O)N1C)C)-c1ccccc1,0
ClCCCc1c2nccnc2[nH]c1-c1ccc(OC)cc1,0
Clc1[nH]c2c(cc(O)cc2)c1\C=C\1/c2c(NC/1=O)cccc2,0
